Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
LLNL/NNSA CTS-1 MAGMA,2278.7010272884395,115589.03952648239,184330.45923206361,1172.153888516255,1942.2754262717538,4133.30038479189,2385.991485155504,1020.8302126357653,312852.7511832056
HPC2,17851.733186076624,53261.27656333304,270963.3566912941,4254.92086221342,0.0,43569.76159646581,6955.461040444812,1263.3782275877827,398119.88816741563
Fênix,6752.458924815612,7703.495622423485,10218.862536806972,5656.771961075745,95.15832076053715,3561.0591435542055,1356.7438593342479,601.7129723211527,35946.26334109196
Lichtenberg II (Phase 1),14468.1431882565,151708.69074268508,50903.54404801996,639.0554488004909,143.52503021058243,16509.47918936587,4039.0403930347275,2158.1175340240493,240569.59557439727
,16255.461877360729,824572.0710888315,1314949.489643567,8361.7388244431,13855.518459420335,29485.52970664027,17020.83474847318,7282.248266024168,2231782.8926147604
CLAIX-2023 (CPU segment),14184.02240535668,148729.48384476715,49903.916480120446,626.5058816537568,140.70653142891086,16185.27130093702,3959.723005606292,2115.737109986331,235845.3665598566
Thunder,12381.284781303984,628051.1567056165,1001556.5369435519,6368.8789917746235,10553.321777809151,22458.22007272211,12964.245730222043,5546.66427260211,1699880.3092756025
HoreKa-Teal,1040.0288436775686,10905.436320053885,3659.153311277957,45.937898928267174,10.317161591949116,1186.7683591196335,290.3426137601775,155.1342459240476,17293.118754333485
Komondor,1239.430167597765,7019.639776536314,11391.979888268153,16.258860335195415,588.2751284916201,646.6592178770908,975.5316201117316,22.309743016759658,21900.08440223463
Alps,434.6591197630121,0.0,2204.792636479032,8326.016927634362,2612.274312314854,6587.380448582303,1809.909775708843,17.593345323740404,21992.626565806146
Helios CPU,5028.50737777777,227172.6833777778,19436.085925925923,153.60625777777773,0.0,8341.852444444434,1579.9500799999994,713.145019259259,262425.830482963
Numerical Materials Simulator,7723.631972057492,183102.69980562598,111239.61425146274,1207.7705715779805,633.7562885417994,14014.819784708558,3579.9373819695893,71.60515831121546,321573.8352142553
Camphor 2,8359.446004479469,198175.82425432408,120396.92624641099,1307.1949719292347,685.9274876419563,15168.528184231005,3874.6399818452683,77.49973803909184,348045.9868689011
Barnard,11232.730878186965,117783.10960993682,39520.33122684681,496.1478317716276,111.42950533885364,12817.57681412072,3135.817302244498,1675.512410111135,186772.65557855743
Mistral,23400.648982745293,245372.31720121237,82330.94950375403,1033.6027258860115,232.13613581885505,26702.288080191756,6532.708809603993,3490.520533291071,389095.1719725034
Henri,113.21573198714943,5742.963891693437,9158.335217989901,58.237679669573126,96.50065167508026,205.36025699862296,118.546386415787,50.71926434144101,15543.879080770994
"Karolina, CPU partition",7922.5731163034825,165740.54633762143,7663.238514045677,370.59112627986286,2407.258598057232,5740.995011814109,966.0708847466503,54.638435284851475,190865.91202415328
SuperMUC Phase 2,31050.522431109956,325586.638423899,109245.64511975276,1371.4963481843927,308.02343548802435,35431.4957507082,8668.307514808137,4631.601721607004,516293.7307455575
,35754.56853725851,15289.205519779158,226200.51665133392,576.4451149953983,2275.4702483900637,34636.305427782885,2978.116062557492,4354.980386384544,322065.60794848204
,35754.56853725851,15289.205519779158,226200.51665133392,576.4451149953983,2275.4702483900637,34636.305427782885,2978.116062557492,4354.980386384544,322065.60794848204
JFRS-1,7794.1414016635135,184774.25367682608,112255.1263549447,1218.7963706327505,639.5418819745233,14142.761788240834,3612.6188126412153,72.25884544799752,324509.4991323716
SNL/NNSA CTS-1 Attaway,1926.7483319800788,97735.94097504146,155860.02753556674,991.1109542132934,1642.2847460020466,3494.8988597451153,2017.4674338969876,863.1597062872875,264531.63854273304
LLNL/NNSA CTS-1 Jade,34989.74970875822,1774884.6881067532,2830418.100045892,17998.574928513408,29823.890987397164,63467.36329297129,36637.20859956929,15674.980266177141,4803894.555936032
LLNL CTS-1 Quartz,34989.74970875822,1774884.6881067532,2830418.100045892,17998.574928513408,29823.890987397164,63467.36329297129,36637.20859956929,15674.980266177141,4803894.555936032
Cedar (CPU),2559.2490155929995,33070.39722790988,55721.17309812567,10939.255189793668,1330.9192628760431,1953.491888486366,447.8810521341911,546.5660733973847,106568.9328083162
AlphaCentauri,3431.466134432139,35981.34382614553,12072.992729649952,151.56728144376862,34.04039303472727,3915.6177816517747,957.9550149567146,511.8491803522256,57056.83234166683
Conesus,1051.3623398171296,53331.24512538096,85047.62169190758,540.8162106823871,896.1400430684502,1907.049811134251,1100.8647297631228,470.99747973076325,144346.09743148464
Mihir,4386.401925402709,588963.083569287,12190.503407693457,1737.1147155851413,280.5535161339492,1152.7204024594257,2641.0105220793725,458.05596295543427,611809.4440215965
Spartan2,449.48668572873476,364.3619303261913,3168.150847094976,262.6071961253426,828.5777907451711,1198.4940187897487,229.67638209721625,114.99761996459902,6616.35247087198
,4894.650626042162,116036.56770234134,70495.20866691004,765.3931473789102,401.6265437933513,8881.52706929382,2268.692088287238,45.377904362068435,203789.04374840893
,4894.650626042162,116036.56770234134,70495.20866691004,765.3931473789102,401.6265437933513,8881.52706929382,2268.692088287238,45.377904362068435,203789.04374840893
PAI-BSystem,3229.026310865473,353367.0192894195,11312.75668395775,2242.982708552908,391.5406904527574,3310.8749956393267,2104.513197717869,764.6344661872234,376723.34834279283
cascade,3555.4929219472383,180355.3897459432,287613.7041456325,1828.9300808415976,3030.5627846224434,6449.25336251632,3722.8999046845743,1592.8173780021411,488149.05032419
occigen2,6077.590398941856,4926.603256112458,42837.13796658298,3550.7591760518153,11203.349477738226,16205.05339324263,3105.495711034599,1554.9035225924413,89460.89290229701
